Number of threads;Ticks;Result;;;;;;;
1;19.055;1.920,51;;;;;;;
2;5.418;1.920,51;;;;;;;
3;7.292;1.920,51;;;;;;;
4;8.374;1.920,51;;;;;;;
5;8.810;1.920,51;;;;;;;
6;8.798;1.920,51;;;;;;;
7;6.802;1.920,51;;;;;;;
8;6.582;1.920,51;;;;;;;
9;7.478;1.920,51;;;;;;;
10;6.931;1.920,51;;;;;;;
11;7.427;1.920,51;;;;;;;
12;7.256;1.920,51;;;;;;;
13;7.467;1.920,51;;;;;;;
14;8.310;1.920,51;;;;;;;
15;9.202;1.920,51;;;;;;;
16;9.283;1.920,51;;;;;;;
17;10.097;1.920,51;;;;;;;
18;10.715;1.920,51;;Los picos son debidos al recolector de basura;;;;;
19;10.712;1.920,51;;;;;;;
20;11.149;1.920,51;;Al principio es secuencial, a partir de 25 tarda más que secuencial;;;;;
21;12.585;1.920,51;;;;;;;
22;13.113;1.920,51;;El número óptimo de workers suele ser el número de cores;;;;;
23;13.054;1.920,51;;;;;;;
24;13.440;1.920,51;;;;;;;
25;18.427;1.920,51;;;;;;;
26;14.884;1.920,51;;;;;;;
27;14.821;1.920,51;;;;;;;
28;14.879;1.920,51;;;;;;;
29;15.249;1.920,51;;;;;;;
30;15.486;1.920,51;;;;;;;
31;16.535;1.920,51;;;;;;;
32;16.424;1.920,51;;;;;;;
33;18.358;1.920,51;;;;;;;
34;18.690;1.920,51;;;;;;;
35;19.304;1.920,51;;;;;;;
36;20.059;1.920,51;;;;;;;
37;19.675;1.920,51;;;;;;;
38;19.777;1.920,51;;;;;;;
39;21.048;1.920,51;;;;;;;
40;21.669;1.920,51;;;;;;;
41;21.377;1.920,51;;;;;;;
42;21.746;1.920,51;;;;;;;
43;22.238;1.920,51;;;;;;;
44;22.726;1.920,51;;;;;;;
45;23.870;1.920,51;;;;;;;
46;24.152;1.920,51;;;;;;;
47;24.802;1.920,51;;;;;;;
48;26.210;1.920,51;;;;;;;
49;25.948;1.920,51;;;;;;;
50;27.059;1.920,51;;;;;;;
